country,Cellphones,GDPPC,Internet,Year
Netherlands,1.41,368000,1.97,1993
Netherlands,2.09,377000,3.26,1994
Netherlands,3.48,387000,6.47,1995
Netherlands,6.53,398000,9.65,1996
Netherlands,11,414000,14.1,1997
Netherlands,21.3,43000,22.2,1998
Netherlands,42.6,449000,39.2,1999
Netherlands,67.5,464000,44,2000
Netherlands,76.2,472000,49.4,2001
Netherlands,75.1,47000,61.3,2002
Netherlands,81.5,468000,64.3,2003
Netherlands,90.9,476000,68.5,2004
Netherlands,96.7,484000,81,2005
Netherlands,105,50000,83.7,2006
Netherlands,117,518000,85.8,2007
Netherlands,124,527000,87.4,2008
Netherlands,121,505000,89.6,2009
Netherlands,115,51000,90.7,2010
Netherlands,118,515000,91.4,2011
Netherlands,117,508000,92.9,2012
Netherlands,116,506000,94,2013
Netherlands,116,511000,91.7,2014
Netherlands,123,519000,91.7,2015
Netherlands,123,527000,90.4,2016
Netherlands,121,539000,93.2,2017
Netherlands,124,549000,92.6,2018
Netherlands,127,555000,93.3,2019
Norway,4.63,602000,0.707,1990
Norway,5.49,618000,1.41,1991
Norway,6.59,636000,2.22,1992
Norway,8.6,651000,2.78,1993
Norway,13.6,68000,4.15,1994
Norway,22.5,704000,6.42,1995
Norway,28.7,736000,18.3,1996
Norway,37.9,77000,20.4,1997
Norway,46.6,786000,22.6,1998
Norway,59.5,796000,40,1999
Norway,71.7,817000,52,2000
Norway,79.4,829000,64,2001
Norway,83.4,837000,72.8,2002
Norway,88.9,839000,78.1,2003
Norway,98.4,868000,77.7,2004
Norway,103,884000,82,2005
Norway,104,898000,82.5,2006
Norway,107,916000,86.9,2007
Norway,109,909000,90.6,2008
Norway,111,882000,92.1,2009
Norway,115,877000,93.4,2010
Norway,116,874000,93.5,2011
Norway,116,886000,94.6,2012
Norway,112,884000,95.1,2013
Norway,112,892000,96.3,2014
Norway,110,90000,96.8,2015
Norway,109,902000,97.3,2016
Norway,108,915000,96.4,2017
Norway,107,92000,96.5,2018
Norway,107,921000,98,2019
Panama,0,4060,0,1990
Panama,0,4350,0,1991
Panama,0,4610,0,1992
Panama,0,4770,0,1993
Panama,0,4800,0.00764,1994
Panama,0,4790,0.0561,1995
Panama,0.25,4880,0.22,1996
Panama,0.823,5090,0.539,1997
Panama,2.95,5360,2.75,1998
Panama,7.84,5450,3.84,1999
Panama,13.5,5490,6.55,2000
Panama,15.4,5420,7.27,2001
Panama,16.7,5440,8.52,2002
Panama,21.6,5560,9.99,2003
Panama,38.5,5870,11.1,2004
Panama,52.5,6170,11.5,2005
Panama,64.1,6590,17.3,2006
Panama,87.2,7240,22.3,2007
Panama,111,7810,33.8,2008
Panama,169,7770,39.1,2009
Panama,182,8080,40.1,2010
Panama,182,8840,42.7,2011
Panama,165,9540,40.3,2012
Panama,162,10000,44,2013
Panama,177,104000,44.9,2014
Panama,145,108000,51.2,2015
Panama,127,111000,54,2016
Panama,129,115000,60,2017
Panama,137,117000,61.8,2018
Panama,132,119000,63.6,2019
Paraguay,0,3550,0,1990
Paraguay,0,3580,0,1991
Paraguay,0.0338,3550,0,1992
Paraguay,0.0744,3630,0,1993
Paraguay,0.164,3730,0,1994
Paraguay,0.331,3900,0,1995
Paraguay,0.672,3870,0.0204,1996
Paraguay,1.69,3940,0.0996,1997
Paraguay,4.53,3860,0.195,1998
Paraguay,8.35,3730,0.382,1999
Paraguay,15.4,3570,0.748,2000
Paraguay,21.2,3470,1.1,2001
Paraguay,30.1,3410,1.79,2002
Paraguay,31.4,3490,2.11,2003
Paraguay,30.5,3570,3.45,2004
Paraguay,32.4,3590,7.91,2005
Paraguay,54.7,3700,7.96,2006
Paraguay,78.3,3850,11.2,2007
Paraguay,95.2,4040,14.3,2008
Paraguay,91.2,3980,18.9,2009
Paraguay,94.8,4360,19.8,2010
Paraguay,103,4480,24.8,2011
Paraguay,106,4390,29.3,2012
Paraguay,108,4690,36.9,2013
Paraguay,111,4870,43,2014
Paraguay,111,4950,49.7,2015
Paraguay,110,5090,53.4,2016
Paraguay,109,5270,61.1,2017
Paraguay,107,5370,65,2018
Paraguay,110,5280,68.5,2019
Poland,0,5950,0,1990
Poland,0,5510,0.00523,1991
Poland,0.00575,5630,0.0521,1992
Poland,0.041,5830,0.13,1993
Poland,0.101,6120,0.389,1994
Poland,0.195,6550,0.648,1995
Poland,0.563,6940,1.3,1996
Poland,2.11,7390,2.07,1997
Poland,5,7730,4.1,1998
Poland,10.3,8090,5.46,1999
Poland,17.5,8550,7.29,2000
Poland,26,8660,9.9,2001
Poland,36.1,8840,21.1,2002
Poland,45.3,9150,24.9,2003
Poland,60.1,9610,32.5,2004
Poland,76,9950,38.8,2005
Poland,95.8,106000,44.6,2006
Poland,108,113000,48.6,2007
Poland,115,118000,53.1,2008
Poland,117,121000,59,2009
Poland,122,126000,62.3,2010
Poland,131,132000,62,2011
Poland,141,134000,62.3,2012
Poland,149,135000,62.8,2013
Poland,149,14000,66.6,2014
Poland,143,146000,68,2015
Poland,140,151000,73.3,2016
Poland,133,158000,76,2017
Poland,127,166000,77.5,2018
Poland,128,174000,84.5,2019
Portugal,0.0657,167000,0,1990
Portugal,0.127,174000,0.1,1991
Portugal,0.374,176000,0.25,1992
Portugal,1.01,173000,0.45,1993
Portugal,1.73,174000,0.719,1994
Portugal,3.38,181000,1.49,1995
Portugal,6.55,186000,2.98,1996
Portugal,14.8,194000,4.95,1997
Portugal,30.1,202000,9.87,1998
Portugal,45.6,209000,14.7,1999
Portugal,64.7,215000,16.4,2000
Portugal,77.1,218000,18.1,2001
Portugal,83.5,218000,19.4,2002
Portugal,95.9,215000,29.7,2003
Portugal,101,219000,31.8,2004
Portugal,109,22000,35,2005
Portugal,116,223000,38,2006
Portugal,127,228000,42.1,2007
Portugal,133,229000,44.1,2008
Portugal,111,221000,48.3,2009
Portugal,115,225000,53.3,2010
Portugal,117,221000,55.3,2011
Portugal,113,213000,60.3,2012
Portugal,114,213000,62.1,2013
Portugal,114,215000,64.6,2014
Portugal,113,22000,68.6,2015
Portugal,112,225000,70.4,2016
Portugal,114,234000,73.8,2017
Portugal,116,241000,74.7,2018
Portugal,116,247000,75.3,2019
Romania,0,5380,0,1990
Romania,0,4730,0,1991
Romania,0,4350,0,1992
Romania,0.00344,4420,0.0037,1993
Romania,0.012,4610,0.0263,1994
Romania,0.0395,4900,0.075,1995
Romania,0.0745,5110,0.222,1996
Romania,0.888,4870,0.445,1997
Romania,2.86,4790,2.24,1998
Romania,6.08,4780,2.7,1999
Romania,11.3,4900,3.61,2000
Romania,17.5,5230,4.54,2001
Romania,23.4,5630,6.58,2002
Romania,32.4,5800,8.9,2003
Romania,47.3,6440,15,2004
Romania,62.4,6780,21.5,2005
Romania,75.3,7370,24.7,2006
Romania,97,8020,28.3,2007
Romania,117,8920,32.4,2008
Romania,122,8500,36.6,2009
Romania,119,8210,39.9,2010
Romania,115,8410,40,2011
Romania,113,8620,45.9,2012
Romania,114,8980,49.8,2013
Romania,114,9340,54.1,2014
Romania,116,9660,55.8,2015
Romania,116,102000,59.5,2016
Romania,114,11000,63.7,2017
Romania,116,115000,70.7,2018
Romania,117,121000,73.7,2019
Russia,0,9570,0,1990
Russia,0.0002,9060,0,1991
Russia,0.00405,7740,0.00067,1992
Russia,0.00674,7070,0.0135,1993
Russia,0.0187,6180,0.0538,1994
Russia,0.0597,5930,0.148,1995
Russia,0.151,5710,0.27,1996
Russia,0.328,5800,0.473,1997
Russia,0.507,5510,0.813,1998
Russia,0.933,5880,1.02,1999
Russia,2.23,6490,1.98,2000
Russia,5.31,6850,2.94,2001
Russia,12.1,7210,4.13,2002
Russia,25,7770,8.3,2003
Russia,51.2,8360,12.9,2004
Russia,83.5,8930,15.2,2005
Russia,105,9690,18,2006
Russia,119,105000,24.7,2007
Russia,139,111000,26.8,2008
Russia,161,102000,29,2009
Russia,166,107000,43,2010
Russia,142,111000,49,2011
Russia,144,116000,63.8,2012
Russia,151,117000,68,2013
Russia,153,116000,70.5,2014
Russia,157,114000,70.1,2015
Russia,158,114000,73.1,2016
Russia,156,116000,76,2017
Russia,157,119000,80.9,2018
Russia,164,121000,82.6,2019
Saudi Arabia,0.0915,181000,0,1990
Saudi Arabia,0.0914,202000,0,1991
Saudi Arabia,0.0916,203000,0,1992
Saudi Arabia,0.0896,195000,0,1993
Saudi Arabia,0.0876,191000,0,1994
Saudi Arabia,0.0859,187000,0.011,1995
Saudi Arabia,1,188000,0.0267,1996
Saudi Arabia,1.71,187000,0.0521,1997
Saudi Arabia,3.17,189000,0.101,1998
Saudi Arabia,4.14,178000,0.494,1999
Saudi Arabia,6.66,184000,2.21,2000
Saudi Arabia,11.9,177000,4.68,2001
Saudi Arabia,23,167000,6.38,2002
Saudi Arabia,32.2,18000,8,2003
Saudi Arabia,39.7,189000,10.2,2004
Saudi Arabia,59.5,194000,12.7,2005
Saudi Arabia,80.4,194000,19.5,2006
Saudi Arabia,113,192000,30,2007
Saudi Arabia,139,198000,36,2008
Saudi Arabia,168,189000,38,2009
Saudi Arabia,188,193000,41,2010
Saudi Arabia,191,206000,47.5,2011
Saudi Arabia,182,21000,54,2012
Saudi Arabia,177,209000,60.5,2013
Saudi Arabia,171,211000,64.7,2014
Saudi Arabia,166,214000,69.6,2015
Saudi Arabia,148,213000,74.9,2016
Saudi Arabia,121,207000,94.2,2017
Saudi Arabia,123,208000,93.3,2018
Saudi Arabia,121,205000,95.7,2019
Singapore,1.72,226000,0,1990
Singapore,2.64,234000,0.162,1991
Singapore,3.75,242000,0.471,1992
Singapore,5.41,263000,0.763,1993
Singapore,6.9,283000,1.19,1994
Singapore,8.68,295000,2.87,1995
Singapore,11.8,304000,8.35,1996
Singapore,22.6,319000,13.5,1997
Singapore,28.4,301000,19.6,1998
Singapore,41.2,316000,24.2,1999
Singapore,68.2,339000,36,2000
Singapore,73.4,326000,41.7,2001
Singapore,80.7,336000,47,2002
Singapore,86.6,356000,53.8,2003
Singapore,95.5,386000,62,2004
Singapore,103,405000,61,2005
Singapore,109,428000,59,2006
Singapore,129,447000,69.9,2007
Singapore,134,432000,69,2008
Singapore,139,42000,69,2009
Singapore,144,472000,71,2010
Singapore,148,492000,71,2011
Singapore,150,501000,72,2012
Singapore,155,517000,80.9,2013
Singapore,147,531000,79,2014
Singapore,147,54000,79,2015
Singapore,150,551000,84.5,2016
Singapore,147,575000,84.5,2017
Singapore,149,593000,88.2,2018
Singapore,156,594000,88.9,2019
South Korea,0.186,8500,0.0233,1990
South Korea,0.383,9320,0.0461,1991
South Korea,0.62,9790,0.0984,1992
South Korea,1.06,104000,0.25,1993
South Korea,2.14,112000,0.311,1994
South Korea,3.62,122000,0.82,1995
South Korea,6.95,13000,1.62,1996
South Korea,14.9,137000,3.6,1997
South Korea,30.1,129000,6.78,1998
South Korea,49.9,143000,23.6,1999
South Korea,56.6,154000,44.7,2000
South Korea,60.9,16000,56.6,2001
South Korea,67.4,172000,59.4,2002
South Korea,69.6,176000,65.5,2003
South Korea,75.4,185000,72.7,2004
South Korea,78.7,192000,73.5,2005
South Korea,82.2,201000,78.1,2006
South Korea,90.5,212000,78.8,2007
South Korea,92.7,217000,81,2008
South Korea,97.2,217000,81.6,2009
South Korea,102,231000,83.7,2010
South Korea,105,238000,83.8,2011
South Korea,107,242000,84.1,2012
South Korea,109,249000,84.8,2013
South Korea,113,255000,87.6,2014
South Korea,116,261000,89.9,2015
South Korea,120,267000,92.8,2016
South Korea,125,275000,95.1,2017
South Korea,130,282000,96,2018
South Korea,134,287000,96.2,2019
Spain,0.14,225000,0.0129,1990
Spain,0.276,23000,0.0257,1991
Spain,0.457,231000,0.0769,1992
Spain,0.651,228000,0.128,1993
Spain,1.04,232000,0.28,1994
Spain,2.38,237000,0.381,1995
Spain,7.51,243000,1.33,1996
Spain,10.8,251000,2.8,1997
Spain,16,261000,4.36,1998
Spain,37.1,271000,7.09,1999
Spain,59.4,284000,13.6,2000
Spain,71.8,293000,18.1,2001
Spain,80,297000,20.4,2002
Spain,87.4,30000,39.9,2003
Spain,89.2,304000,44,2004
Spain,97,31000,47.9,2005
Spain,102,318000,50.4,2006
Spain,107,323000,55.1,2007
Spain,108,321000,59.6,2008
Spain,110,306000,62.4,2009
Spain,109,305000,65.8,2010
Spain,112,301000,67.1,2011
Spain,108,292000,69.8,2012
Spain,107,289000,71.6,2013
Spain,109,294000,76.2,2014
Spain,109,305000,78.7,2015
Spain,110,314000,80.6,2016
Spain,113,323000,84.6,2017
Spain,116,329000,86.1,2018
Spain,118,334000,90.7,2019
Tunisia,0.0116,2220,0,1990
Tunisia,0.0147,2260,0,1991
Tunisia,0.0229,2380,0,1992
Tunisia,0.0258,2390,0,1993
Tunisia,0.0302,2420,0.00738,1994
Tunisia,0.0349,2430,0.0112,1995
Tunisia,0.0701,2560,0.0276,1996
Tunisia,0.0815,2670,0.0437,1997
Tunisia,0.41,2760,0.108,1998
Tunisia,0.575,2900,1.6,1999
Tunisia,1.23,3000,2.75,2000
Tunisia,3.97,3090,4.3,2001
Tunisia,5.82,3100,5.25,2002
Tunisia,19.3,3230,6.49,2003
Tunisia,37.3,3400,8.53,2004
Tunisia,56.2,3490,9.66,2005
Tunisia,71.9,3640,13,2006
Tunisia,76.1,3840,17.1,2007
Tunisia,82.6,3970,27.5,2008
Tunisia,93.1,4040,34.1,2009
Tunisia,105,4140,36.8,2010
Tunisia,115,4020,39.1,2011
Tunisia,118,4150,41.4,2012
Tunisia,116,4220,43.8,2013
Tunisia,129,4300,46.2,2014
Tunisia,131,4300,46.5,2015
Tunisia,126,4310,49.6,2016
Tunisia,125,4340,55.5,2017
Tunisia,128,4410,64.2,2018
Tunisia,126,4400,66.7,2019
Turkey,0.059,6770,0,1990
Turkey,0.0872,6710,0,1991
Turkey,0.11,6930,0,1992
Turkey,0.149,7340,0.00846,1993
Turkey,0.304,6890,0.0499,1994
Turkey,0.747,7320,0.0817,1995
Turkey,1.36,7730,0.193,1996
Turkey,2.67,8190,0.474,1997
Turkey,5.72,8250,0.699,1998
Turkey,13,7860,2.29,1999
Turkey,25.5,8280,3.76,2000
Turkey,30.5,7690,5.19,2001
Turkey,35.8,8060,11.4,2002
Turkey,42.2,8410,12.3,2003
Turkey,51.8,9100,14.6,2004
Turkey,64.2,9790,15.5,2005
Turkey,76.6,103000,18.2,2006
Turkey,89.1,107000,28.6,2007
Turkey,93.5,107000,34.4,2008
Turkey,88,10000,36.4,2009
Turkey,85.4,107000,39.8,2010
Turkey,88.9,118000,43.1,2011
Turkey,90.7,121000,45.1,2012
Turkey,91.7,129000,46.3,2013
Turkey,93.1,133000,51,2014
Turkey,93.8,139000,53.7,2015
Turkey,94,142000,58.3,2016
Turkey,95.9,15000,64.7,2017
Turkey,97.3,152000,71,2018
Turkey,96.8,151000,74,2019
United Arab Emirates,1.84,688000,0,1990
United Arab Emirates,2.22,655000,0,1991
United Arab Emirates,2.38,639000,0,1992
United Arab Emirates,3.25,611000,0,1993
United Arab Emirates,3.99,618000,0,1994
United Arab Emirates,5.34,627000,0.103,1995
United Arab Emirates,7.63,631000,0.375,1996
United Arab Emirates,11.6,649000,3.3,1997
United Arab Emirates,17.5,618000,6.91,1998
United Arab Emirates,28.1,603000,14.9,1999
United Arab Emirates,45.6,633000,23.6,2000
United Arab Emirates,57.8,609000,26.3,2001
United Arab Emirates,69.8,592000,28.3,2002
United Arab Emirates,80.1,604000,29.5,2003
United Arab Emirates,90.5,603000,30.1,2004
United Arab Emirates,98.8,561000,40,2005
United Arab Emirates,104,533000,52,2006
United Arab Emirates,125,473000,61,2007
United Arab Emirates,132,425000,63,2008
United Arab Emirates,135,36000,64,2009
United Arab Emirates,128,339000,68,2010
United Arab Emirates,131,346000,78,2011
United Arab Emirates,151,354000,85,2012
United Arab Emirates,175,37000,88,2013
United Arab Emirates,183,385000,90.4,2014
United Arab Emirates,194,402000,90.5,2015
United Arab Emirates,213,41000,90.6,2016
United Arab Emirates,209,415000,94.8,2017
United Arab Emirates,209,413000,98.5,2018
United Arab Emirates,201,414000,99.2,2019
United Kingdom,1.95,286000,0.0874,1990
United Kingdom,2.2,282000,0.174,1991
United Kingdom,2.62,283000,0.261,1992
United Kingdom,3.94,289000,0.52,1993
United Kingdom,6.82,299000,1.04,1994
United Kingdom,9.9,306000,1.9,1995
United Kingdom,12.5,313000,4.12,1996
United Kingdom,15.2,328000,7.39,1997
United Kingdom,25.4,339000,13.7,1998
United Kingdom,46.3,349000,21.3,1999
United Kingdom,73.7,36000,26.8,2000
United Kingdom,78.3,368000,33.5,2001
United Kingdom,83,374000,56.5,2002
United Kingdom,91.1,385000,64.8,2003
United Kingdom,99.7,392000,65.6,2004
United Kingdom,109,40000,70,2005
United Kingdom,115,408000,68.8,2006
United Kingdom,120,415000,75.1,2007
United Kingdom,121,41000,78.4,2008
United Kingdom,122,39000,83.6,2009
United Kingdom,121,395000,85,2010
United Kingdom,121,397000,85.4,2011
United Kingdom,121,40000,87.5,2012
United Kingdom,121,406000,89.8,2013
United Kingdom,120,415000,91.6,2014
United Kingdom,120,421000,92,2015
United Kingdom,119,425000,94.8,2016
United Kingdom,119,43000,90.4,2017
United Kingdom,118,432000,90.7,2018
United Kingdom,120,436000,92.5,2019
Uruguay,0,6880,0,1990
Uruguay,0,7070,0,1991
Uruguay,0.0543,7580,0,1992
Uruguay,0.156,7720,0,1993
Uruguay,0.213,8220,0.0625,1994
Uruguay,1.24,8050,0.31,1995
Uruguay,2.42,8430,1.85,1996
Uruguay,3.03,9090,3.36,1997
Uruguay,4.6,9440,6.99,1998
Uruguay,9.65,9210,9.97,1999
Uruguay,12.4,9000,10.5,2000
Uruguay,15.6,8640,11.1,2001
Uruguay,15.4,7970,11.4,2002
Uruguay,15,8040,15.9,2003
Uruguay,18.1,8450,17.1,2004
Uruguay,34.8,9080,20.1,2005
Uruguay,70.1,9440,29.4,2006
Uruguay,90.2,10000,34,2007
Uruguay,105,107000,39.3,2008
Uruguay,123,112000,41.8,2009
Uruguay,132,12000,46.4,2010
Uruguay,141,126000,51.4,2011
Uruguay,148,13000,54.5,2012
Uruguay,155,135000,57.7,2013
Uruguay,162,139000,61.5,2014
Uruguay,151,139000,64.6,2015
Uruguay,149,141000,66.4,2016
Uruguay,148,143000,70.3,2017
Uruguay,150,143000,74.4,2018
Uruguay,138,143000,76.9,2019
Vietnam,0,433,0,1990
Vietnam,0,450,0,1991
Vietnam,0.00113,478,0,1992
Vietnam,0.00562,507,0,1993
Vietnam,0.017,542,0,1994
Vietnam,0.0314,583,0,1995
Vietnam,0.0906,628,0.00013,1996
Vietnam,0.208,670,0.00398,1997
Vietnam,0.285,700,0.0131,1998
Vietnam,0.416,724,0.129,1999
Vietnam,0.987,765,0.254,2000
Vietnam,1.55,804,1.27,2001
Vietnam,2.33,847,1.85,2002
Vietnam,3.33,897,3.78,2003
Vietnam,5.97,955,7.64,2004
Vietnam,11.4,1020,12.7,2005
Vietnam,22.3,1080,17.3,2006
Vietnam,52.7,1150,20.8,2007
Vietnam,86.8,1200,23.9,2008
Vietnam,113,1250,26.6,2009
Vietnam,127,1320,30.6,2010
Vietnam,143,1390,35.1,2011
Vietnam,147,1440,36.8,2012
Vietnam,136,1510,38.5,2013
Vietnam,148,1580,41,2014
Vietnam,130,1670,45,2015
Vietnam,129,1750,53,2016
Vietnam,127,1850,58.1,2017
Vietnam,147,1960,69.8,2018
Vietnam,141,2080,68.7,2019
